"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21030-25969","QB","Tom","Tom Savage","Savage","-1.5199999809265137","1","6000","HOU@NE","HOU","NE","","","",""
"21030-24949","QB","EJ","EJ Manuel","Manuel","1.4880000114440919","5","6000","OAK@WAS","OAK","WAS","","","",""
"21030-22994","QB","Case","Case Keenum","Keenum","6.679999828338623","1","6000","TB@MIN","MIN","TB","","","",""
"21030-40407","QB","Joshua","Joshua Dobbs","Dobbs","0","0","6000","PIT@CHI","PIT","CHI","","","",""
"21030-21994","QB","Brock","Brock Osweiler","Osweiler","12.298666381835938","15","6000","DEN@BUF","DEN","BUF","","","",""
"21030-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","-0.20000000298023224","1","6000","TB@MIN","TB","MIN","","","",""
"21030-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","0","0","6000","TB@MIN","MIN","TB","NA","Knee","",""
"21030-45565","QB","Taysom","Taysom Hill","Hill","0","0","6000","NO@CAR","NO","CAR","","","",""
"21030-28163","QB","Connor","Connor Cook","Cook","7","1","6000","OAK@WAS","OAK","WAS","","","",""
"21030-22027","QB","Nick","Nick Foles","Foles","14","2","6000","NYG@PHI","PHI","NYG","","","",""
"21030-6679","QB","Matt","Matt Schaub","Schaub","0.14666666587193808","3","6000","ATL@DET","ATL","DET","","","",""
"21030-6687","QB","Mark","Mark Sanchez","Sanchez","0.7599999904632568","2","6000","PIT@CHI","CHI","PIT","Q","Neck","",""
"21030-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","SEA@TEN","TEN","SEA","IR","Foot","",""
"21030-30253","QB","Jeff","Jeff Driskel","Driskel","0","0","6000","CIN@GB","CIN","GB","IR","Thumb","",""
"21030-7778","QB","Matt","Matt Cassel","Cassel","4.414999961853027","4","6000","SEA@TEN","TEN","SEA","","","",""
"21030-8803","QB","Chase","Chase Daniel","Daniel","0.6399999856948853","1","6000","NO@CAR","NO","CAR","","","",""
"21030-64119","RB","Chris","Chris Carson","Carson","7.949999809265137","2","6000","SEA@TEN","SEA","TEN","","","",""
"21030-6808","QB","Matt","Matt Moore","Moore","14.4350004196167","4","6000","MIA@NYJ","MIA","NYJ","","","",""
"21030-33463","QB","Paxton","Paxton Lynch","Lynch","9.793333053588867","3","6000","DEN@BUF","DEN","BUF","O","Shoulder","",""
"21030-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","0","0","6000","PIT@CHI","CHI","PIT","","","",""
"21030-7919","QB","Kellen","Kellen Clemens","Clemens","-0.10000000149011612","1","6000","KC@LAC","LAC","KC","","","",""
"21030-6914","TE","Greg","Greg Olsen","Olsen","2.1500000953674316","2","6000","NO@CAR","CAR","NO","IR","Foot","",""
"21030-41732","QB","Christian","Christian Hackenberg","Hackenberg","0","0","6000","MIA@NYJ","NYJ","MIA","","","",""
"21030-27405","QB","Landry","Landry Jones","Jones","5.131428309849331","7","6000","PIT@CHI","PIT","CHI","","","",""
"21030-39716","WR","Adam","Adam Thielen","Thielen","12.550000190734863","2","6000","TB@MIN","MIN","TB","","","",""
"21030-28515","QB","Cardale","Cardale Jones","Jones","2.740000009536743","1","6000","KC@LAC","LAC","KC","","","",""
