Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
330,Marcus Burley (FA),1,0,0.0,0,0,0,0,0,5,1.5,0.3,0.0%
331,Sharrod Neasman (ATL),1,0,0.0,0,0,0,0,0,11,1.5,0.1,0.0%
332,Sherrick McManis (CHI),1,0,0.0,0,0,0,1,0,13,1.5,0.1,0.2%
333,C.J. Smith (FA),1,0,0.0,0,0,0,0,0,3,1.5,0.5,0.0%
334,Jarren Williams (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%
335,Chris Horton (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
336,Jon Corto (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
337,Delrick Abrams Jr. (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
338,Christian Angulo (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
339,John Brannon (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
340,Donte Vaughn (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
341,Kevin McGill (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
342,Zane Lewis (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
343,Tyler Hall (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
344,Madre Harper (LV),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
345,Travis Reed (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
346,Kemah Siverand (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
347,Bejour Wilson (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
348,Gavin Heslop (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.0%
349,Nate Ebner (NYG),0,0,0.0,0,0,0,0,0,9,0.0,0.0,0.4%
350,Lawyer Milloy (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
351,DeAndre McDaniel (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
352,Victor Harris (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
353,Kareem Moore (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
354,Grayland Arnold (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
355,Isaiah Rodgers (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
356,DeAngelo Smith (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
357,Troy Pride Jr. (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%
