Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
103,Reggie Ragland (DET),31,13,0.0,0,0,0,0,0,12,69.6,5.8,1.1%
104,Haason Reddick (ARI),20,12,2.5,0,0,2,0,0,16,69.0,4.3,5.5%
105,Pernell McPhee (BAL),20,1,4.0,2,0,1,0,0,13,67.8,5.2,0.7%
106,Takkarist McKinley (ATL),15,5,6.0,1,0,2,1,0,16,66.4,4.2,6.2%
107,Eli Harold (FA),26,8,2.0,0,0,0,0,0,16,66.3,4.1,0.0%
108,Dylan Cole (HOU),10,15,1.0,3,2,0,0,1,12,66.2,5.5,0.2%
109,Cory Littleton (LV),18,13,1.0,4,1,1,0,0,16,64.8,4.1,79.0%
110,Nate Orchard (WAS),14,11,2.0,0,0,1,0,0,16,64.6,4.0,0.2%
111,David Bass (FA),15,9,3.5,0,0,0,0,0,15,62.4,4.2,0.0%
112,Josh Bynes (CIN),24,3,1.0,3,1,1,0,0,14,62.3,4.5,5.0%
113,Elvis Dumervil (FA),9,4,6.5,0,0,0,0,0,16,62.1,3.9,0.0%
114,Kyler Fackrell (NYG),18,6,3.0,0,0,0,1,0,16,61.7,3.9,0.5%
115,Jordan Evans (CIN),24,9,0.0,2,0,0,0,0,15,58.6,3.9,0.7%
116,Josh Martin (FA),20,11,1.5,1,0,0,0,0,14,58.4,4.2,0.0%
117,Za'Darius Smith (GB),15,9,3.5,1,0,1,0,0,14,55.9,4.0,27.8%
118,Denzel Perryman (LAC),25,12,0.0,0,0,0,1,0,7,55.3,7.9,3.2%
119,Mason Foster (FA),22,8,0.5,1,1,0,1,0,5,54.4,10.9,0.7%
120,Jonathan Casillas (FA),24,10,0.0,1,0,0,0,0,8,54.1,6.8,0.0%
121,Kevin Pierre-Louis (WAS),25,10,0.0,2,0,0,0,0,14,53.0,3.8,1.1%
122,Kyle Emanuel (FA),18,13,1.5,3,1,0,0,0,16,50.8,3.2,0.0%
123,Junior Galette (FA),14,6,3.0,2,0,1,0,0,16,50.5,3.2,0.0%
124,Eric Lee (FA),10,9,3.5,2,1,0,0,0,6,50.1,8.4,0.0%
125,Brennan Scarlett (HOU),19,7,2.0,1,0,0,0,0,11,50.1,4.6,1.3%
126,Michael Wilhoite (FA),18,8,0.0,1,1,0,0,0,14,48.3,3.5,0.0%
127,Kareem Martin (FA),18,5,1.0,3,1,1,0,0,16,47.8,3.0,0.4%
128,Jalen Reeves-Maybin (DET),21,4,0.5,2,0,0,0,0,14,47.4,3.4,0.2%
129,Jordan Willis (NYJ),17,8,1.0,0,0,0,0,0,16,47.2,3.0,0.2%
130,Chase Allen (FA),24,9,0.0,0,0,0,0,0,16,46.1,2.9,0.0%
131,Damien Wilson (KC),17,12,1.0,1,0,0,0,0,16,45.7,2.9,4.7%
132,Mike Hull (FA),19,7,0.0,0,0,0,1,0,16,44.8,2.8,0.0%
133,Adarius Taylor (FA),19,7,1.0,1,0,1,1,1,14,44.1,3.2,0.0%
134,Zaire Anderson (FA),15,5,0.0,0,0,0,1,1,16,43.6,2.7,0.0%
135,Ahmad Brooks (FA),13,6,1.5,2,0,0,0,0,12,42.7,3.6,0.0%
136,Paul Worrilow (FA),20,10,0.0,1,0,0,1,0,13,42.4,3.3,0.0%
137,Kevin Minter (TB),16,16,0.0,0,0,0,0,0,9,42.3,4.7,1.3%
138,Keenan Robinson (FA),20,12,0.0,2,0,0,0,0,6,42.1,7.0,0.0%
139,Hau'oli Kikaha (FA),6,4,4.0,1,0,0,0,0,12,41.8,3.5,0.0%
140,Jordan Hicks (ARI),19,9,0.0,0,0,0,1,0,7,41.7,6.0,83.5%
141,Tyus Bowser (BAL),7,2,3.0,3,1,0,0,0,16,41.1,2.6,1.1%
142,Ramik Wilson (FA),14,1,0.0,0,0,0,1,1,8,40.0,5.0,0.2%
143,Anthony Chickillo (NO),9,5,3.0,1,0,0,0,0,16,36.6,2.3,0.2%
144,Marquel Lee (LV),15,7,0.0,0,0,0,0,0,13,36.6,2.8,0.2%
145,Ben Gedeon (MIN),15,10,0.0,0,0,0,0,0,16,34.0,2.1,0.4%
146,David Harris (FA),15,7,1.5,1,0,0,0,0,10,33.4,3.3,4.0%
147,Rey Maualuga (FA),14,9,0.0,0,0,0,0,0,6,33.3,5.6,0.0%
148,Dont'a Hightower (NE),12,2,2.0,0,0,0,0,0,5,32.6,6.5,10.2%
149,Sean Spence (FA),11,8,1.0,0,0,0,0,0,7,32.1,4.6,0.0%
150,Will Compton (FA),12,5,0.0,3,1,0,0,0,9,32.0,3.6,0.4%
151,James Harrison (FA),6,2,3.0,0,0,1,0,0,6,31.5,5.3,0.0%
152,Shane Ray (FA),10,6,1.0,0,0,0,0,0,8,31.2,3.9,0.2%
153,Najee Goode (FA),12,3,0.0,0,0,0,0,0,16,30.0,1.9,0.0%
154,Duke Riley (PHI),12,12,0.0,0,0,0,0,0,12,29.3,2.4,0.4%
155,Alex Anzalone (NO),11,5,1.0,1,0,0,0,0,4,29.0,7.3,2.1%
156,Terence Garvin (FA),9,8,1.0,1,0,0,0,0,15,28.3,1.9,0.0%
157,Jeremiah George (FA),15,3,0.5,0,0,0,1,0,16,28.0,1.8,0.0%
158,Robert Quinn (CHI),21,11,8.5,1,0,2,0,0,15,27.7,1.8,17.2%
159,Whitney Mercilus (HOU),9,1,1.0,0,0,1,0,0,5,26.3,5.3,14.4%
160,Connor Barwin (FA),26,8,5.0,0,0,0,1,0,14,25.6,1.8,0.0%
161,Justin Durant (FA),9,4,0.0,0,0,0,0,0,7,25.6,3.7,0.0%
162,Brian Cushing (FA),8,8,1.5,0,0,0,0,0,5,25.4,5.1,0.0%
163,John Timu (FA),10,3,0.0,1,0,0,0,0,11,25.3,2.3,0.0%
164,Aaron Lynch (JAC),5,4,1.0,0,0,0,1,0,7,24.4,3.5,0.2%
165,Anthony Walker Jr. (IND),8,11,0.0,0,0,0,0,0,10,24.3,2.4,33.0%
166,Courtney Upshaw (FA),5,4,1.0,0,0,1,0,0,13,23.6,1.8,0.0%
167,Ryan Anderson (WAS),11,3,0.0,0,0,0,0,0,14,23.6,1.7,0.7%
168,Stephone Anthony (NO),12,3,0.0,0,0,0,0,0,8,22.9,2.9,0.0%
169,Willie Young (FA),4,3,2.0,0,0,0,0,0,4,22.8,5.7,0.0%
170,David Mayo (NYG),7,6,0.0,1,0,0,0,0,16,21.8,1.4,3.4%
171,Hardy Nickerson (FA),12,2,0.0,1,0,0,0,0,14,21.8,1.6,0.0%
172,Joe Thomas (DAL),5,7,0.5,1,0,0,0,0,12,21.6,1.8,0.2%
173,Bryce Hager (FA),6,2,0.0,1,0,1,1,0,16,20.8,1.3,0.0%
174,Curtis Grant (FA),9,4,0.0,0,0,0,1,0,10,20.5,2.1,0.0%
175,Emmanuel Lamur (FA),8,6,0.0,1,0,0,1,0,16,20.3,1.3,0.0%
176,Markus Golden (FA),11,0,0.0,0,0,0,0,0,4,19.0,4.8,5.3%
177,Tyrell Adams (HOU),8,7,0.0,0,0,0,0,0,6,18.8,3.1,0.4%
178,Dwight Freeney (FA),3,0,3.0,1,0,0,0,0,9,18.3,2.0,0.0%
179,Marcus Smith II (FA),8,6,2.5,1,0,2,0,0,14,17.3,1.2,0.0%
180,Michael Mauti (FA),5,3,0.0,0,0,1,0,0,11,17.0,1.5,0.0%
