Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
255,Miles Brown (ARI),2,2,0.0,0,0,0,0,0,9,7.1,0.8,0.0%
256,Jalyn Holmes (MIN),2,2,0.0,0,0,0,0,0,7,7.1,1.0,0.2%
257,Anthony Zettel (MIN),3,3,0.0,0,0,0,0,0,6,6.9,1.2,2.2%
258,Tanzel Smart (FA),2,5,0.0,0,0,0,0,0,13,6.9,0.5,0.0%
259,Sylvester Williams (LAC),2,3,0.0,1,0,0,0,0,5,6.9,1.4,0.0%
260,Trevon Coley (ARI),3,3,0.0,0,0,0,0,0,7,6.8,1.0,0.0%
261,Cortez Broughton (LAC),4,1,0.0,0,0,0,0,0,2,6.8,3.4,0.0%
262,Caraun Reid (FA),1,3,0.0,0,0,0,0,0,3,6.3,2.1,0.0%
263,Ryan Glasgow (CIN),1,6,0.0,0,0,0,0,0,5,6.1,1.2,0.2%
264,Joe Jackson (DAL),2,2,0.0,1,0,0,0,0,6,6.1,1.0,0.5%
265,Terrell McClain (FA),2,4,0.0,0,0,0,0,0,5,6.0,1.2,0.0%
266,Justin Ellis (BAL),2,4,0.0,0,0,0,0,0,5,6.0,1.2,0.0%
267,Jonathan Ledbetter (FA),1,3,0.5,0,0,0,0,0,1,5.8,5.8,0.2%
268,Dontavius Russell (JAC),3,1,0.0,0,0,0,0,0,3,5.3,1.8,0.0%
269,Frank Herron (DET),1,5,0.0,0,0,0,0,0,3,5.3,1.8,3.0%
270,Matt Dickerson (TEN),1,1,0.0,0,0,0,0,0,6,4.8,0.8,0.2%
271,Kyle Peko (DEN),1,4,0.0,0,0,0,0,0,6,4.7,0.8,0.4%
272,Wes Horton (FA),2,2,0.0,0,0,0,0,0,6,4.6,0.8,0.0%
273,Jeremiah Valoaga (LV),2,0,0.0,1,0,0,0,0,4,4.5,1.1,0.0%
274,Isaiah Buggs (PIT),2,1,0.0,0,0,0,0,0,9,3.8,0.4,0.0%
275,Stacy McGee (FA),0,2,0.5,0,0,0,0,0,5,3.5,0.7,0.0%
276,Bryan Mone (SEA),0,4,0.0,0,0,0,0,0,4,3.1,0.8,0.6%
277,Mitchell Loewen (FA),2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.2%
278,Pat O'Connor (TB),2,0,0.0,0,0,0,0,0,5,3.0,0.6,0.0%
279,Albert Huggins (PHI),0,3,0.0,0,0,0,0,0,4,2.4,0.6,0.0%
280,Byron Cowart (NE),1,1,0.0,0,0,0,0,0,5,2.3,0.5,0.4%
281,Olasunkanmi Adeniyi (PIT),1,1,0.0,0,0,0,0,0,16,2.3,0.1,0.0%
282,Chris Smith (CAR),0,1,0.0,1,0,0,0,0,9,2.3,0.3,1.7%
283,Gerald Willis III (GB),0,2,0.0,0,0,0,0,0,2,1.6,0.8,0.2%
284,T.Y. McGill (FA),0,2,0.0,0,0,0,0,0,4,1.6,0.4,0.0%
285,Kerry Wynn (FA),0,2,0.0,0,0,0,0,0,2,1.6,0.8,1.0%
286,Kylie Fitts (ARI),0,2,0.0,0,0,0,0,0,4,1.6,0.4,0.5%
287,Joey Ivie (TEN),0,2,0.0,0,0,0,0,0,8,1.6,0.2,0.0%
288,Ahmad Gooden (NYJ),1,0,0.0,0,0,0,0,0,3,1.5,0.5,0.0%
289,Carl Davis (FA),1,0,0.0,0,0,0,0,0,3,1.5,0.5,0.2%
290,Kevin Givens (SF),1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%
291,Robert McCray III (CLE),1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%
292,Ryan Bee (WAS),0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%
293,Deyon Sizer (FA),0,1,0.0,0,0,0,0,0,1,0.8,0.8,1.0%
294,Jonathan Wynn (DET),0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%
295,Malik Jackson (PHI),0,1,0.0,0,0,0,0,0,1,0.8,0.8,1.5%
296,Keionta Davis (NE),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
297,Woodrow Hamilton (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%
298,Rashaad Coward (CHI),0,0,0.0,0,0,0,0,0,13,0.0,0.0,1.0%
299,Duke Ejiofor (HOU),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
300,Marquis Haynes (CAR),4,6,1.0,0,0,0,1,0,11,0.0,0.0,0.7%
301,Willie Henry (SF),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
302,Vincent Valentine (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
303,Joe Ostman (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.0%
304,Shilique Calhoun (NE),6,3,0.0,0,0,1,0,0,15,0.0,0.0,0.4%
305,Eric Lee (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
306,Chris Landrum (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
307,Hercules Mataafa (MIN),1,0,0.0,1,0,0,1,0,6,0.0,0.0,0.0%
308,Joel Heath (DEN),0,0,0.0,0,0,0,0,0,3,0.0,0.0,4.0%
309,Jonathan Woodard (BUF),0,0,0.0,0,0,0,0,0,1,0.0,0.0,6.0%
310,Nazair Jones (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
311,Cameron Malveaux (WAS),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%
312,Brandin Bryant (FA),2,1,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
313,Kameron Canaday (PIT),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
314,Jordan Willis (NYJ),4,3,1.0,0,0,1,0,0,10,0.0,0.0,0.2%
315,Carroll Phillips (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.0%
316,Fadol Brown (FA),0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.0%
317,Jarron Jones (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
318,Carl Lawson (CIN),17,6,5.0,0,0,0,0,0,12,0.0,0.0,1.3%
319,Jeremiah Ledbetter (TB),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%
320,Tashawn Bower (NE),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
321,Derek Rivers (NE),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.5%
322,Harvey Langi (NYJ),5,3,0.0,1,0,0,0,0,16,0.0,0.0,0.2%
323,Caleb Brantley (WAS),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%
324,Takkarist McKinley (ATL),18,11,3.5,0,0,0,0,0,14,0.0,0.0,6.2%
325,Alex Barrett (SF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
326,Zach Wood (NO),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
327,Vontarrius Dora (ARI),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
328,Eddie Yarbrough (MIN),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%
329,Davonte Lambert (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
330,Daniel Ross (LV),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
331,McTelvin Agim (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%
332,Alton Robinson (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
333,D.J. Wonnum (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
334,Benito Jones (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
335,Khalid Kareem (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
336,Raequan Williams (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
337,Alex Highsmith (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,8.1%
338,Delontae Scott (GB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
339,Bradlee Anae (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%
340,Larrell Murchison (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
341,Trevis Gipson (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
342,Kenny Willekes (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
343,Joe Gaziano (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
344,Leki Fotu (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%
345,Marlon Davidson (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.9%
346,LaDarius Hamilton (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
347,Jonathan Greenard (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,5.4%
348,Kendall Coleman (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0%
349,Nick Coe (NE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
350,Robert Windsor (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
351,Carlos Davis (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
352,Tipa Galeai (GB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
353,Jessie Lemonier (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%
354,Darrion Daniels (SF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
355,Benning Potoa'e (TB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
356,Khalil Davis (TB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
357,Bravvion Roy (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.1%
358,Tyler Clark (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
359,Chauncey Rivers (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,6.0%
360,Jonathan Garvin (GB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.1%
361,Ross Blacklock (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.8%
362,Jashon Cornell (DET),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
363,James Lynch (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.7%
364,Rashard Lawrence (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
365,Stacy Keely (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
366,Aaron Adeoye (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
367,Freedom Akinmoladun (CIN),0,0,0.0,0,0,0,0,0,2,0.0,0.0,0.2%
368,Darrell Taylor (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.9%
369,Curtis Weaver (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%
370,Justin Madubuike (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.1%
371,Jabari Zuniga (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.1%
372,Davon Hamilton (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
373,Josh Uche (NE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.9%
374,Jordan Elliott (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
375,Terrell Lewis (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.0%
376,K'Lavon Chaisson (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,12.0%
377,Neville Gallimore (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.1%
378,Julian Okwara (DET),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.7%
379,Yetur Gross-Matos (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,18.2%
380,Javon Kinlaw (SF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,10.8%
381,Derrick Brown (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,13.9%
382,A.J. Epenesa (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,6.4%
383,Chase Young (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0.0,47.1%
384,Jonathan Kongbo (SF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
385,Courtney Wallace Jr. (NE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
386,Dana Levine (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
387,Azur Kamara (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
