Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
363,Kevin McGill (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
364,Donte Vaughn (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
365,Madre Harper (LV),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
366,Travis Reed (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
367,Kemah Siverand (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
368,Lawyer Milloy (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
369,DeAndre McDaniel (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
370,Kendrick Lewis (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
371,Gavin Heslop (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0.0,2.0%
372,Tyler Hall (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
373,Jarren Williams (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%
374,Myles Bryant (NE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
375,Kindle Vildor (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
376,Dane Jackson (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
377,Troy Pride Jr. (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.7%
378,Ron Parker (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
379,Trajan Bandy (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
380,Josiah Scott (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
381,DeMarkus Acy (SF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
382,Zane Lewis (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
383,Isiah Swann (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
384,Bejour Wilson (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
385,Delrick Abrams Jr. (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
386,Christian Angulo (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
387,Grayland Arnold (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
388,Josh Nurse (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
389,Khalil Dorsey (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
390,Jameson Houston (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
391,Isaiah Brown (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
392,Isaiah Rodgers (IND),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
393,Stantley Thomas-Oliver III (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0.0,3.0%
394,Keith Washington II (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
395,Elijah Riley (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
396,John Reid (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.2%
397,Parnell Motley (TB),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
398,Tino Ellis (NO),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
399,L'Jarius Sneed (KC),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%
